nohup: ignoring input
Epoch 1840 | Loss: 0.27519410848617554
Epoch 1850 | Loss: 0.025393683463335037
Epoch 1860 | Loss: 0.025930210947990417
Epoch 1870 | Loss: 0.03187147527933121
Epoch 1880 | Loss: 0.020806174725294113
Epoch 1890 | Loss: 0.028731614351272583
Epoch 1900 | Loss: 0.12084102630615234
Epoch 1910 | Loss: 0.024584829807281494
Epoch 1920 | Loss: 0.036144666373729706
Epoch 1930 | Loss: 0.054205119609832764
Epoch 1940 | Loss: 0.023129722103476524
Epoch 1950 | Loss: 0.026308147236704826
Epoch 1960 | Loss: 0.024239612743258476
Epoch 1970 | Loss: 0.02938302420079708
Epoch 1980 | Loss: 0.026495156809687614
Epoch 1990 | Loss: 0.027700211852788925
Epoch 2000 | Loss: 0.03909672424197197
Epoch 2010 | Loss: 0.0961439311504364
Epoch 2020 | Loss: 0.0253152996301651
Epoch 2030 | Loss: 0.027524199336767197
Epoch 2040 | Loss: 0.02506481669843197
Epoch 2050 | Loss: 0.04076608270406723
Epoch 2060 | Loss: 0.02514859102666378
Epoch 2070 | Loss: 0.02916187047958374
Epoch 2080 | Loss: 0.02503831498324871
Epoch 2090 | Loss: 0.030589621514081955
Epoch 2100 | Loss: 0.03752371668815613
Epoch 2110 | Loss: 0.023122236132621765
Epoch 2120 | Loss: 0.0265513863414526
Epoch 2130 | Loss: 0.030236966907978058
Epoch 2140 | Loss: 0.07789541780948639
Epoch 2150 | Loss: 0.1435028314590454
Epoch 2160 | Loss: 0.03048120066523552
Epoch 2170 | Loss: 0.11842947453260422
Epoch 2180 | Loss: 0.024906514212489128
Epoch 2190 | Loss: 0.025736328214406967
Epoch 2200 | Loss: 0.02493039146065712
Epoch 2210 | Loss: 0.03639119490981102
Epoch 2220 | Loss: 0.02559373341500759
Epoch 2230 | Loss: 0.022178057581186295
Epoch 2240 | Loss: 0.023676574230194092
Epoch 2250 | Loss: 0.028266137465834618
Epoch 2260 | Loss: 0.030649814754724503
Epoch 2270 | Loss: 0.028135892003774643
Epoch 2280 | Loss: 0.06514470279216766
Epoch 2290 | Loss: 0.02594883367419243
Epoch 2300 | Loss: 0.026051124557852745
Epoch 2310 | Loss: 0.02553774043917656
Epoch 2320 | Loss: 0.09410827606916428
Epoch 2330 | Loss: 0.026348916813731194
Epoch 2340 | Loss: 0.031143587082624435
Epoch 2350 | Loss: 0.0291050486266613
Epoch 2360 | Loss: 0.027351072058081627
Epoch 2370 | Loss: 0.029904520139098167
Epoch 2380 | Loss: 0.027522247284650803
Epoch 2390 | Loss: 0.026555180549621582
Epoch 2400 | Loss: 0.02805154025554657
Epoch 2410 | Loss: 0.025116978213191032
Epoch 2420 | Loss: 0.024002036079764366
Epoch 2430 | Loss: 0.030219074338674545
Epoch 2440 | Loss: 0.0227093156427145
Epoch 2450 | Loss: 0.03441446274518967
Epoch 2460 | Loss: 0.02796366438269615
Epoch 2470 | Loss: 0.02906220220029354
Epoch 2480 | Loss: 0.02534879744052887
Epoch 2490 | Loss: 0.03360244259238243
Epoch 2500 | Loss: 0.03565534949302673
Epoch 2510 | Loss: 0.0267298873513937
Epoch 2520 | Loss: 0.26977047324180603
Epoch 2530 | Loss: 0.02439160645008087
Epoch 2540 | Loss: 0.025203421711921692
Epoch 2550 | Loss: 0.11424475163221359
Epoch 2560 | Loss: 0.1031067967414856
Epoch 2570 | Loss: 0.02424309216439724
Epoch 2580 | Loss: 0.035674579441547394
Epoch 2590 | Loss: 0.02585998922586441
Epoch 2600 | Loss: 0.02323579415678978
Epoch 2610 | Loss: 0.02246798202395439
Epoch 2620 | Loss: 0.02153835818171501
Epoch 2630 | Loss: 0.027290549129247665
Epoch 2640 | Loss: 0.03396915644407272
Epoch 2650 | Loss: 0.028924360871315002
Epoch 2660 | Loss: 0.025096293538808823
Epoch 2670 | Loss: 0.021670496091246605
Epoch 2680 | Loss: 0.03195774555206299
Epoch 2690 | Loss: 0.02237904630601406
Epoch 2700 | Loss: 0.021066254004836082
Epoch 2710 | Loss: 0.020803367719054222
Epoch 2720 | Loss: 0.02706662192940712
Epoch 2730 | Loss: 0.02036035805940628
Epoch 2740 | Loss: 0.028618082404136658
Epoch 2750 | Loss: 0.024341661483049393
Epoch 2760 | Loss: 0.053124647587537766
Epoch 2770 | Loss: 0.018579794093966484
Epoch 2780 | Loss: 0.018390148878097534
Epoch 2790 | Loss: 0.025608688592910767
Epoch 2800 | Loss: 0.041486792266368866
Epoch 2810 | Loss: 0.02781795524060726
Epoch 2820 | Loss: 0.10607583820819855
Epoch 2830 | Loss: 0.022429591044783592
Epoch 2840 | Loss: 0.02891414985060692
Epoch 2850 | Loss: 0.0494641475379467
Epoch 2860 | Loss: 0.03532213717699051
Epoch 2870 | Loss: 0.02596687525510788
Epoch 2880 | Loss: 0.02050921693444252
Epoch 2890 | Loss: 0.023221414536237717
Epoch 2900 | Loss: 0.03414643928408623
Epoch 2910 | Loss: 0.0837010070681572
Epoch 2920 | Loss: 0.027508314698934555
Epoch 2930 | Loss: 0.11253233999013901
Epoch 2940 | Loss: 0.022440163418650627
Epoch 2950 | Loss: 0.019742906093597412
Epoch 2960 | Loss: 0.02974644862115383
Epoch 2970 | Loss: 0.021347559988498688
Epoch 2980 | Loss: 0.022658398374915123
Epoch 2990 | Loss: 0.028015177696943283
Epoch 3000 | Loss: 0.027231639251112938
Epoch 3010 | Loss: 0.03726055100560188
Epoch 3020 | Loss: 0.03309645876288414
Epoch 3030 | Loss: 0.01805637776851654
Epoch 3040 | Loss: 0.016554540023207664
Epoch 3050 | Loss: 0.022939538583159447
Epoch 3060 | Loss: 0.01804126612842083
Epoch 3070 | Loss: 0.023025542497634888
Epoch 3080 | Loss: 0.024740472435951233
Epoch 3090 | Loss: 0.023934779688715935
Epoch 3100 | Loss: 0.022316839545965195
Epoch 3110 | Loss: 0.022253042086958885
Epoch 3120 | Loss: 0.02739683911204338
Epoch 3130 | Loss: 0.03690512105822563
Epoch 3140 | Loss: 0.027652068063616753
Epoch 3150 | Loss: 0.019231628626585007
Epoch 3160 | Loss: 0.022717829793691635
Epoch 3170 | Loss: 0.02104976773262024
Epoch 3180 | Loss: 0.040360789746046066
Epoch 3190 | Loss: 0.0170450322329998
Epoch 3200 | Loss: 0.05466535687446594
Epoch 3210 | Loss: 0.023377057164907455
Epoch 3220 | Loss: 0.02220010757446289
Epoch 3230 | Loss: 0.026442818343639374
Epoch 3240 | Loss: 0.021284960210323334
Epoch 3250 | Loss: 0.04465129226446152
Epoch 3260 | Loss: 0.019154462963342667
Epoch 3270 | Loss: 0.027169428765773773
Epoch 3280 | Loss: 0.022752610966563225
Epoch 3290 | Loss: 0.020820610225200653
Epoch 3300 | Loss: 0.022144002839922905
Epoch 3310 | Loss: 0.01588151603937149
Epoch 3320 | Loss: 0.02648056112229824
Epoch 3330 | Loss: 0.020839780569076538
Epoch 3340 | Loss: 0.023604562506079674
Epoch 3350 | Loss: 0.07103382050991058
Epoch 3360 | Loss: 0.03925521299242973
Epoch 3370 | Loss: 0.024105116724967957
Epoch 3380 | Loss: 0.02307368814945221
Epoch 3390 | Loss: 0.02377503179013729
Epoch 3400 | Loss: 0.018623042851686478
Epoch 3410 | Loss: 0.020941011607646942
Epoch 3420 | Loss: 0.03578495234251022
Epoch 3430 | Loss: 0.06116367504000664
Epoch 3440 | Loss: 0.020177949219942093
Epoch 3450 | Loss: 0.020994476974010468
Epoch 3460 | Loss: 0.054104261100292206
Epoch 3470 | Loss: 0.023264572024345398
Epoch 3480 | Loss: 0.01875128597021103
Epoch 3490 | Loss: 0.08471737802028656
Epoch 3500 | Loss: 0.02331974357366562
Epoch 3510 | Loss: 0.023953944444656372
Epoch 3520 | Loss: 0.0382755845785141
Epoch 3530 | Loss: 0.021034497767686844
Epoch 3540 | Loss: 0.025957178324460983
Epoch 3550 | Loss: 0.015357866883277893
Epoch 3560 | Loss: 0.019452061504125595
Epoch 3570 | Loss: 0.03776727244257927
Epoch 3580 | Loss: 0.019883286207914352
Epoch 3590 | Loss: 0.03761190176010132
Epoch 3600 | Loss: 0.020466160029172897
Epoch 3610 | Loss: 0.019573600962758064
Epoch 3620 | Loss: 0.019160181283950806
Epoch 3630 | Loss: 0.027789367362856865
Epoch 3640 | Loss: 0.029888618737459183
Epoch 3650 | Loss: 0.029568476602435112
Epoch 3660 | Loss: 0.019870324060320854
Epoch 3670 | Loss: 0.02932152710855007
Epoch 3680 | Loss: 0.018443353474140167
Epoch 3690 | Loss: 0.12593331933021545
Epoch 3700 | Loss: 0.04366583749651909
Epoch 3710 | Loss: 0.024738555774092674
Epoch 3720 | Loss: 0.10858216136693954
Epoch 3730 | Loss: 0.015315024182200432
Epoch 3740 | Loss: 0.024140741676092148
Epoch 3750 | Loss: 0.02180660329759121
Epoch 3760 | Loss: 0.020825592800974846
Epoch 3770 | Loss: 0.024254223331809044
Epoch 3780 | Loss: 0.024639736860990524
Epoch 3790 | Loss: 0.01700609363615513
Epoch 3800 | Loss: 0.01910429820418358
Epoch 3810 | Loss: 0.018196310847997665
Epoch 3820 | Loss: 0.01865706965327263
Epoch 3830 | Loss: 0.026278194040060043
Epoch 3840 | Loss: 0.022378653287887573
Epoch 3850 | Loss: 0.023064881563186646
Epoch 3860 | Loss: 0.01760810986161232
Epoch 3870 | Loss: 0.02897123619914055
Epoch 3880 | Loss: 0.013807028532028198
Epoch 3890 | Loss: 0.01879253424704075
Epoch 3900 | Loss: 0.022311922162771225
Epoch 3910 | Loss: 0.01855563372373581
Epoch 3920 | Loss: 0.020576801151037216
Epoch 3930 | Loss: 0.019130948930978775
Epoch 3940 | Loss: 0.01815105229616165
Epoch 3950 | Loss: 0.015756022185087204
Epoch 3960 | Loss: 0.017073823139071465
Epoch 3970 | Loss: 0.018702873960137367
Epoch 3980 | Loss: 0.019608933478593826
Epoch 3990 | Loss: 0.017877178266644478
Loss plot saved at output/loss_vs_epoch.png
